loan_id,age,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default,"('Aadhar',)","('Driving',)","('PAN',)","('Passport',)","('VoterID',)"
3655,33,580188,749052,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2833,39,542748,614076,0,0,0,0,1.0,0.0,0.0,0.0,0.0
479,41,750156,975600,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3014,47,572988,824460,4,2,0,0,1.0,0.0,0.0,0.0,0.0
573,42,772584,941976,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5523,30,660156,888000,3,3,0,0,1.0,0.0,0.0,0.0,0.0
4070,36,612036,776568,3,2,0,0,1.0,0.0,0.0,0.0,0.0
3850,43,701916,889752,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6270,39,826584,900000,3,2,0,0,1.0,0.0,0.0,0.0,0.0
4834,29,781584,970008,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3801,43,541740,735600,0,0,0,0,1.0,0.0,0.0,0.0,0.0
5942,50,567600,856452,5,4,0,0,1.0,0.0,0.0,0.0,0.0
812,38,589836,765600,2,2,0,0,1.0,0.0,0.0,0.0,0.0
3302,48,679908,819600,3,2,0,0,1.0,0.0,0.0,0.0,0.0
5404,30,708156,890412,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1730,32,458868,681000,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1708,28,903012,1026000,3,3,0,0,1.0,0.0,0.0,0.0,0.0
4409,37,615636,890940,6,2,0,0,1.0,0.0,0.0,0.0,0.0
1792,39,608436,741600,6,3,0,0,1.0,0.0,0.0,0.0,0.0
3746,26,532728,1007592,0,0,0,0,1.0,0.0,0.0,0.0,0.0
477,39,722556,951348,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4307,32,707556,965112,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4624,26,600936,751332,0,0,0,0,1.0,0.0,0.0,0.0,0.0
510,42,615636,830352,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1375,40,603636,773796,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1302,38,681756,915480,3,3,0,0,1.0,0.0,0.0,0.0,0.0
1686,29,536052,787104,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3866,44,625236,821472,3,0,0,0,1.0,0.0,0.0,0.0,0.0
6830,33,736164,842292,2,0,0,0,1.0,0.0,0.0,0.0,0.0
4220,37,568188,696420,3,3,0,0,1.0,0.0,0.0,0.0,0.0
1333,46,457692,816000,3,0,0,0,1.0,0.0,0.0,0.0,0.0
164,34,502128,774300,2,0,0,0,1.0,0.0,0.0,0.0,0.0
2366,31,751776,895200,0,0,0,0,1.0,0.0,0.0,0.0,0.0
297,29,586188,709512,3,2,0,0,1.0,0.0,0.0,0.0,0.0
1900,28,603636,698724,0,0,0,0,1.0,0.0,0.0,0.0,0.0
1244,36,574188,721524,2,0,0,0,1.0,0.0,0.0,0.0,0.0
4281,26,601836,783720,0,0,0,0,1.0,0.0,0.0,0.0,0.0
6249,28,807732,1060152,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2500,28,603636,832848,0,0,0,0,1.0,0.0,0.0,0.0,0.0
242,50,564588,819468,3,2,0,0,1.0,0.0,0.0,0.0,0.0
